id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,last_fm_playcount,last_fm_listeners
4tRv4vzO4eoscBL8Fwa9Cz,El Walidine,Kamel Messaoudi,5,0,4,488919,0.625,-12.505,0.582,0.0274,0.345,0.621,0.0475,95.794,0,0,0
0waH260p5bn80xQ1s2kewt,Lehnina memti,Kamel Messaoudi,2,1,4,959400,0.528,-8.238,0.465,0.000355,0.181,0.685,0.187,94.515,0,0,0
3oBTNa0pvdxz8gzyEwwrwN,Koumou ya b nat,Kamel Messaoudi,5,0,3,354840,0.485,-6.042,0.679,0.00183,0.197,0.952,0.0402,149.366,0,0,0
3OxhfAzCoQkHBKoMSgMKaB,Sahrane ellil,Kamel Messaoudi,9,1,4,185400,0.427,-4.117,0.691,6.16e-05,0.0845,0.596,0.0472,112.325,0,0,0
1LSc7wU36U9I2Jq30NRTYY,Youm el djemaâ,Kamel Messaoudi,3,0,3,335987,0.444,-8.91,0.476,0.0,0.369,0.671,0.0937,82.088,0,0,0
4Yr0EdI43RvImn8J06kXYq,Kouani Ou Rah,Kamel Messaoudi,9,0,3,404466,0.458,-2.95,0.726,0.000261,0.0689,0.85,0.0376,100.361,0,0,0
4iNlCdu5YMt6bL9A8CEGq8,Youm el khemis,Kamel Messaoudi,6,0,4,701146,0.6,-9.232,0.55,0.902,0.111,0.713,0.0305,113.065,0,0,0
5qCd4YAqgb7tjPzdh4j62G,Sobhane Allah ya l'tif,Kamel Messaoudi,10,0,3,903400,0.705,-11.463,0.435,0.627,0.128,0.538,0.0457,102.656,0,0,0
4XxLDclprmAcLOdD1mACex,Ana b Jefak,Kamel Messaoudi,9,0,4,910040,0.574,-9.641,0.392,0.0,0.118,0.587,0.0865,119.354,0,0,0
7DLe89TMXZtRulA3kuIoC8,بويا هارتنت,Kamel Messaoudi,0,0,3,340586,0.456,-5.607,0.447,0.0288,0.098,0.787,0.067,132.574,0,0,0
